0;Atletico-MG;2;0;Internacional;R;10;11;1000;1000;1000;1000;1000;1000;1000;1000
1;Fluminense;0;0;Santos;R;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
2;Sao Paulo;4;0;Athletico-PR;R;28;30;29;29;1000;1000;1000;1000;1000;1000
3;Palmeiras;2;3;Ceara;R;40;41;153;154;153;1000;1000;1000;1000;1000
4;Botafogo;1;3;Corinthians;R;163;164;165;52;1000;1000;1000;1000;1000;1000
5;Juventude;2;2;Bragantino;R;59;60;170;174;1000;1000;1000;1000;1000;1000
6;Fortaleza;0;1;Cuiaba;R;184;1000;1000;1000;1000;1000;1000;1000;1000;1000
7;Atletico-GO;1;1;Flamengo;R;85;196;1000;1000;1000;1000;1000;1000;1000;1000
8;Avai;1;0;America-MG;R;97;1000;1000;1000;1000;1000;1000;1000;1000;1000
9;Coritiba;3;0;Goias;R;106;107;108;1000;1000;1000;1000;1000;1000;1000
10;America-MG;4;1;Juventude;R;7;8;9;10;64;1000;1000;1000;1000;1000
11;Flamengo;3;1;Sao Paulo;R;194;195;196;30;1000;1000;1000;1000;1000;1000
12;Bragantino;4;0;Atletico-GO;R;170;171;172;173;1000;1000;1000;1000;1000;1000
13;Corinthians;3;0;Avai;R;161;162;163;1000;1000;1000;1000;1000;1000;1000
14;Santos;2;1;Coritiba;R;129;130;108;1000;1000;1000;1000;1000;1000;1000
15;Internacional;2;1;Fortaleza;R;119;120;74;1000;1000;1000;1000;1000;1000;1000
16;Ceara;1;3;Botafogo;R;152;51;52;53;1000;1000;1000;1000;1000;1000
17;Goias;1;1;Palmeiras;R;219;42;1000;1000;1000;1000;1000;1000;1000;1000
18;Cuiaba;0;1;Fluminense;R;19;1000;1000;1000;1000;1000;1000;1000;1000;1000
19;Athletico-PR;0;1;Atletico-MG;R;9;1000;1000;1000;1000;1000;1000;1000;1000;1000
20;Atletico-MG;2;2;Coritiba;R;5;6;107;108;1000;1000;1000;1000;1000;1000
21;Fluminense;0;1;Internacional;R;117;1000;1000;1000;1000;1000;1000;1000;1000;1000
22;Bragantino;1;1;Sao Paulo;R;175;27;1000;1000;1000;1000;1000;1000;1000;1000
23;Palmeiras;3;0;Corinthians;R;40;41;42;1000;1000;1000;1000;1000;1000;1000
24;Santos;3;0;America-MG;R;129;130;129;1000;1000;1000;1000;1000;1000;1000
25;Juventude;0;1;Cuiaba;R;186;1000;1000;1000;1000;1000;1000;1000;1000;1000
26;Fortaleza;0;1;Ceara;R;151;1000;1000;1000;1000;1000;1000;1000;1000;1000
27;Atletico-GO;1;1;Botafogo;R;86;52;1000;1000;1000;1000;1000;1000;1000;1000
