idTime;Time;idTreinador;Técnico;idJogador;Posição;Jogador;
1;Atlético-MG;221;A;1;Goleiro;Gabriel Delfim;
1;Atlético-MG;221;A;2;Lateral esquerdo;Dodô;
1;Atlético-MG;221;A;3;Zagueiro;Réver;
1;Atlético-MG;221;A;4;Zagueiro;Junior Alonso;
1;Atlético-MG;221;A;5;Lateral direito;Mariano ;
1;Atlético-MG;221;A;6;Meio campista;Rubens;
1;Atlético-MG;221;A;7;Meio campista;Ignacio Fernández;
1;Atlético-MG;221;A;8;Meio campista;Matias Zaracho;
1;Atlético-MG;221;A;9;Meio campista;Pedrinho;
1;Atlético-MG;221;A;10;Atacante;Hulk;
1;Atlético-MG;221;A;11;Atacante;Alan Kardec;
2;Fluminense;222;B;12;Goleiro;Marcos Felipe;
2;Fluminense;222;B;13;Lateral esquerdo;Marlon;
2;Fluminense;222;B;14;Zagueiro;Luccas Claro;
2;Fluminense;222;B;15;Zagueiro;David Braz;
2;Fluminense;222;B;16;Lateral direito;Calegari;
2;Fluminense;222;B;17;Meio campista;Wellington;
2;Fluminense;222;B;18;Meio campista;André Trindade;
2;Fluminense;222;B;19;Meio campista;Nonato;
2;Fluminense;222;B;20;Meio campista;Ganso;
2;Fluminense;222;B;21;Atacante;Caio Paulista;
2;Fluminense;222;B;22;Atacante;Fred;
3;São Paulo;223;C;23;Goleiro;Thiago Couto;
3;São Paulo;223;C;24;Lateral esquerdo;Reinaldo;
3;São Paulo;223;C;25;Zagueiro;Diego Costa;
3;São Paulo;223;C;26;Zagueiro;Robert Arboleda;
3;São Paulo;223;C;27;Lateral direito;Rafinha;
3;São Paulo;223;C;28;Meio campista;Gabriel Neves;
3;São Paulo;223;C;29;Meio campista;Rodrigo Nestor;
3;São Paulo;223;C;30;Meio campista;Patrick;
3;São Paulo;223;C;31;Meio campista;Luan;
3;São Paulo;223;C;32;Atacante;Alisson;
3;São Paulo;223;C;33;Atacante;Luciano;
4;Palmeiras;224;D;34;Goleiro;Wéverton;
4;Palmeiras;224;D;35;Lateral esquerdo;Jorge;
4;Palmeiras;224;D;36;Zagueiro;Luan;
