0;Atlético-MG;2;0;Internacional
1;Fluminense;0;0;Santos
2;São Paulo;4;0;Athletico-PR
3;Palmeiras;2;3;Ceará
4;Botafogo;1;3;Corinthians
5;Juventude;2;2;Bragantino
6;Fortaleza;0;1;Cuiabá
7;Atlético-GO;1;1;Flamengo
8;Avaí;1;0;América-MG
9;Coritiba;3;0;Goiás
10;América-MG;4;1;Juventude
11;Flamengo;3;1;São Paulo
12;Bragantino;4;0;Atlético-GO
13;Corinthians;3;0;Avaí
14;Santos;2;1;Coritiba
15;Internacional;2;1;Fortaleza
16;Ceará;1;3;Botafogo
17;Goiás;1;1;Palmeiras
18;Cuiabá;0;1;Fluminense
19;Athletico-PR;0;1;Atlético-MG
20;Atlético-MG;2;2;Coritiba
21;Fluminense;0;1;Internacional
22;Bragantino;1;1;São Paulo
23;Palmeiras;3;0;Corinthians
24;Santos;3;0;América-MG
25;Juventude;0;1;Cuiabá
26;Fortaleza;0;1;Ceará
27;Atlético-GO;1;1;Botafogo
28;Avaí;3;2;Goiás
29;Athletico-PR;1;0;Flamengo
30;América-MG;1;0;Athletico-PR
31;Flamengo;0;0;Palmeiras
32;São Paulo;2;1;Santos
33;Corinthians;1;0;Fortaleza
34;Botafogo;1;1;Juventude
35;Internacional;0;0;Avaí
36;Ceará;0;1;Bragantino
37;Goiás;2;2;Atlético-MG
38;Cuiabá;1;1;Atlético-GO
39;Coritiba;3;2;Fluminense
40;Atlético-MG;1;2;América-MG
41;Flamengo;0;1;Botafogo
42;Bragantino;0;1;Corinthians
43;Palmeiras;1;1;Fluminense
44;Santos;4;1;Cuiabá
45;Juventude;1;1;Internacional
46;Fortaleza;1;1;São Paulo
47;Atlético-GO;0;1;Goiás
48;Avaí;2;1;Coritiba
49;Athletico-PR;1;0;Ceará
50;Atlético-MG;2;0;Atlético-GO
51;Fluminense;2;1;Athletico-PR
52;São Paulo;2;1;Cuiabá
53;Palmeiras;2;0;Bragantino
54;Botafogo;3;1;Fortaleza
55;Internacional;2;2;Corinthians
56;Ceará;2;2;Flamengo
57;Goiás;1;0;Santos
58;Avaí;1;2;Juventude
59;Coritiba;1;0;América-MG
60;América-MG;1;1;Botafogo
61;Flamengo;1;0;Goiás
62;Bragantino;1;1;Atlético-MG
63;Corinthians;1;1;São Paulo
64;Santos;0;0;Ceará
65;Juventude;0;3;Palmeiras
66;Fortaleza;0;1;Fluminense
67;Atlético-GO;2;0;Coritiba
68;Cuiabá;1;1;Internacional
69;Athletico-PR;2;1;Avaí
70;Atlético-MG;2;1;Avaí
71;Fluminense;1;2;Flamengo
72;São Paulo;2;2;Ceará
73;Corinthians;1;1;América-MG
74;Santos;0;1;Palmeiras
75;Internacional;1;1;Atlético-GO
76;Fortaleza;1;1;Juventude
77;Goiás;1;1;Bragantino
78;Cuiabá;0;1;Athletico-PR
79;Coritiba;1;0;Botafogo
80;América-MG;2;1;Cuiabá
81;Flamengo;1;2;Fortaleza
82;Bragantino;0;2;Internacional
83;Palmeiras;0;0;Atlético-MG
84;Botafogo;1;2;Goiás
85;Juventude;1;0;Fluminense
86;Ceará;1;1;Coritiba
87;Atlético-GO;0;1;Corinthians
88;Avaí;1;1;São Paulo
89;Athletico-PR;2;2;Santos
90;América-MG;0;2;Ceará
91;Fluminense;5;3;Atlético-MG
92;Bragantino;1;0;Flamengo
93;Palmeiras;4;0;Botafogo
94;Santos;1;1;Internacional
95;Juventude;1;3;Athletico-PR
96;Fortaleza;1;1;Goiás
97;Atlético-GO;2;1;Avaí
98;Cuiabá;1;0;Corinthians
99;Coritiba;1;1;São Paulo
100;Atlético-MG;1;1;Santos
101;Fluminense;0;2;Atlético-GO
102;São Paulo;1;0;América-MG
103;Corinthians;2;0;Juventude
104;Botafogo;0;1;Avaí
105;Internacional;3;1;Flamengo
106;Fortaleza;0;0;Athletico-PR
107;Goiás;1;1;Ceará
108;Cuiabá;1;1;Bragantino
109;Coritiba;0;2;Palmeiras
110;América-MG;0;0;Fluminense
111;Flamengo;2;0;Cuiabá
112;Bragantino;4;2;Coritiba
113;Palmeiras;4;2;Atlético-GO
114;Botafogo;1;0;São Paulo
115;Juventude;1;2;Santos
116;Ceará;0;0;Atlético-MG
117;Goiás;1;2;Internacional
118;Avaí;3;2;Fortaleza
119;Athletico-PR;1;1;Corinthians
120;Atlético-MG;2;0;Flamengo
121;Fluminense;2;0;Avaí
122;São Paulo;1;2;Palmeiras
123;Corinthians;1;0;Goiás
124;Santos;2;2;Bragantino
125;Internacional;2;3;Botafogo
126;Fortaleza;1;0;América-MG
127;Atlético-GO;3;1;Juventude
128;Cuiabá;0;0;Ceará
129;Coritiba;0;1;Athletico-PR
130;Atlético-MG;3;2;Fortaleza
131;Flamengo;3;0;América-MG
132;São Paulo;0;0;Juventude
133;Corinthians;0;0;Santos
134;Botafogo;0;1;Fluminense
135;Internacional;3;0;Coritiba
136;Ceará;1;1;Atlético-GO
137;Goiás;1;0;Cuiabá
138;Avaí;2;2;Palmeiras
139;Athletico-PR;4;2;Bragantino
